timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20200821T1100,29.401014,65,26.072052,324.5543
20200821T1200,30.697014,61,26.064596,327.40744
20200821T1300,31.813015,60,25.570139,324.74365
20200821T1400,32.533016,59,23.363974,326.30994
20200821T1500,32.839016,60,21.30093,329.53445
20200821T1600,32.713013,61,17.58481,337.10944
20200821T1700,32.029015,64,13.441071,339.6236
20200821T1800,30.931015,74,8.217153,331.1892
20200821T1900,30.715015,80,4.1046314,322.12503
20200821T2000,29.869015,85,8.891344,248.62938
20200821T2100,28.375015,84,8.287822,235.61966
20200821T2200,26.431015,88,8.669949,228.36647
20200821T2300,24.271015,93,8.654987,225
20200822T0000,24.811016,94,9.178235,228.17984
20200822T0100,25.693014,94,8.78872,214.99202
20200822T0200,26.593014,94,9,196.26021
20200822T0300,27.511015,93,10.182337,188.1301
20200822T0400,28.285015,92,11.542478,183.57634
20200822T0500,28.717014,92,13.339445,183.09406
20200822T0600,28.753016,92,14.764389,181.39719
20200822T0700,29.455015,92,16.394829,171.15819
20200822T0800,32.461014,83,22.027763,191.30994
20200822T0900,34.999016,79,26.836306,186.93436
20200822T1000,37.177013,78,35.705395,183.46823
20200822T1100,37.717014,84,40.729347,188.1301
20200822T1200,36.331017,94,40.633778,187.12502
20200822T1300,36.115013,97,36.388508,182.26796
20200822T1400,38.167015,99,31.731092,176.74805
20200822T1500,40.255013,99,28.44,180
20200822T1600,40.741013,99,31.018547,201.8014
20200822T1700,39.751015,98,37.441727,226.94809
20200822T1800,37.249016,97,42.218346,245.83908
20200822T1900,35.251015,96,41.448494,252.8241
20200822T2000,34.171013,95,39.75841,253.6983
20200822T2100,34.045013,95,39.55743,256.84906
20200822T2200,33.991016,96,38.948273,261.49542
20200822T2300,33.145016,92,38.88,270
